Norman SusDat ID,Substance,CAS No.,Lowest PNEC Freshwater [??g//l],Date
NS00002389,"2,3,5-Trichlorophenol",CAS_RN: 933-78-8,0.6,2018/10/3
NS00002403,"2,4-Dichloro-1,3-dinitro-5-(trifluoromethyl)benzene",CAS_RN: 29091-09-6,0.0006,2024/2/5
NS00002436,Aztreonam,CAS_RN: 78110-38-0,0.5,2024/4/11
NS00002470,Hexaflumuron,CAS_RN: 86479-06-3,0.00005,2024/4/11
NS00002486,Telithromycin,CAS_RN: 191114-48-4,0.06,2024/4/11
NS00002491,Methiocarb sulfone,CAS_RN: 2179-25-1,26.8,2024/4/11
NS00002496,"o,p'-DDT",CAS_RN: 789-02-6,0.000006,2018/10/3
NS00002503,2-Methylnaphthalene,CAS_RN: 91-57-6,0.12,2024/2/5
NS00002516,Loperamide,CAS_RN: 53179-11-6,140,2023/5/25
NS00002552,"2,3,4-Trichlorophenol",CAS_RN: 15950-66-0,1.2,2018/10/3
NS00002556,Celecoxib,CAS_RN: 169590-42-5,1.1,2023/5/25
NS00002577,Demeton-O-methyl,CAS_RN: 867-27-6,2.8,2018/10/3
NS00002590,1-Methylnaphthalene,CAS_RN: 90-12-0,0.12,2024/2/5
NS00002608,Etrimfos,CAS_RN: 38260-54-7,0.004,2018/10/3
NS00002625,Felodipine,CAS_RN: 72509-76-3,2,2023/5/25
NS00002646,Triethylamine,CAS_RN: 121-44-8,110,2024/2/5
NS00002648,Pefloxacin,CAS_RN: 70458-92-3,8,2024/4/11
NS00002649,"1,4-Dioxane",CAS_RN: 123-91-1,57500,2024/4/11
NS00002652,Gibberellic acid,CAS_RN: 77-06-5,760,2023/5/21
NS00002657,Acibenzolar-S-methyl,CAS_RN: 135158-54-2,2.6,2023/5/21
NS00002695,Fenpyroximate,CAS_RN: 134098-61-6,0.0063,2023/5/21
NS00002711,Tapentadol,CAS_RN: 175591-23-8,53,2023/5/25
NS00002744,Prothioconazole,CAS_RN: 178928-70-6,0.334,2023/5/21
NS00002749,Flumetsulam,CAS_RN: 98967-40-9,0.036,2018/10/3
NS00002757,"4-(2,4-Dichloro-5-methoxyanilino)-6-methoxy-7-[3-(4-methylpiperazin-1-yl)propoxy]quinoline-3-carbonitrile",CAS_RN: 380843-75-4,3,2023/5/25
NS00002760,Chlordane,CAS_RN: 57-74-9,0.00005,2018/10/3
NS00002767,"(2S)-2-[4-(2,4-Dichlorophenoxy)phenoxy]propanoic acid",CAS_RN: 75021-71-5,1.5,2023/5/21
NS00002769,Carboxin,CAS_RN: 5234-68-4,12,2018/10/3
NS00002799,Chlorantraniliprole,CAS_RN: 500008-45-7,0.25,2024/4/11
NS00002841,Trovafloxacin,CAS_RN: 147059-72-1,0.03,2024/4/11
NS00002845,Ametoctradin,CAS_RN: 865318-97-4,4.4,2023/5/21
NS00002872,Ipconazole,CAS_RN: 125225-28-7,0.044,2023/5/21
NS00002898,Ebastine,CAS_RN: 90729-43-4,25,2023/5/25
NS00002910,1-Chloro-2-nitrobenzene,CAS_RN: 88-73-3,5.28,2018/10/3
NS00002912,Imazapyr,CAS_RN: 81334-34-1,0.024,2018/10/3
NS00002918,Acetonitrile,CAS_RN: 75-05-8,2000,2024/2/5
NS00002919,Azimsulfuron,CAS_RN: 120162-55-2,0.012,2018/10/3
NS00002924,"2,4-Dichloronitrobenzene",CAS_RN: 611-06-3,1.4,2018/10/3
NS00002932,Ruxolitinib,CAS_RN: 941678-49-5,10,2023/5/25
NS00002945,"2,3-Dichloronitrobenzene",CAS_RN: 3209-22-1,1.4,2018/10/3
NS00002962,"1,2-Dibromoethane",CAS_RN: 106-93-4,0.002,2024/2/5
NS00002971,1-Naphthaleneacetic acid,CAS_RN: 86-87-3,1805,2023/5/21
NS00002973,"p,p'-DDE",CAS_RN: 72-55-9,0.0004,2018/10/3
NS00002975,Diafenthiuron,CAS_RN: 80060-09-9,0.00023,2018/10/3
NS00003012,Lapatinib,CAS_RN: 231277-92-2,0.1,2023/5/25
NS00003068,Bambuterol,CAS_RN: 81732-65-2,750,2023/5/25
NS00003093,Cephaloridine,CAS_RN: 50-59-9,4,2024/4/11
NS00003112,Chloroacetic acid,CAS_RN: 79-11-8,0.58,2024/2/5
NS00003119,2-{(Carboxyacetyl)[(2RS)-1-methoxy-1-oxo-2-propanyl]amino}-3-methylbenzoic acid,,20,2023/5/21
NS00003131,Tobramycin,CAS_RN: 32986-56-4,1,2024/4/11
NS00003135,Fluorobenzene,CAS_RN: 462-06-6,7.4,2024/2/5
NS00003137,"3,4-Dimethylphenol",CAS_RN: 95-65-8,13.1,2024/2/5
NS00003145,Methyl parathion,CAS_RN: 298-00-0,0.02,2018/10/3
NS00003187,Azelastine,CAS_RN: 58581-89-8,11,2023/5/25
NS00003255,Fenitrothion,CAS_RN: 122-14-5,0.0087,2024/4/11
NS00003296,Flufenoxuron,CAS_RN: 101463-69-8,0.000324,2023/5/21
NS00003300,"Benzene, 4-chloro-1-methyl-2-nitro-",CAS_RN: 89-59-8,6,2018/10/3
NS00003347,"1-Chloro-2,4-dinitrobenzene",CAS_RN: 97-00-7,1.6,2018/10/3
NS00003356,"4,4'-Diaminobiphenyl methane",CAS_RN: 101-77-9,3,2018/10/3
NS00003367,Spinosyn D,CAS_RN: 131929-63-0,0.062,2024/2/5
NS00003415,2-Naphthalenol,CAS_RN: 135-19-3,0.85,2018/10/3
NS00003462,4-Chloro-2-nitroaniline,CAS_RN: 89-63-4,1,2024/2/5
NS00003506,Methoprene,CAS_RN: 40596-69-8,0.0014,2018/10/3
NS00003542,"3,5-Dichloroaniline",CAS_RN: 626-43-7,3,2018/10/3
NS00003545,O-Cresol,CAS_RN: 95-48-7,100,2024/2/5
NS00003609,Spinosad,CAS_RN: 168316-95-8,0.024,2024/4/11
NS00003629,Eugenol,CAS_RN: 97-53-0,11.1,2023/5/21
NS00003651,Novaluron,CAS_RN: 116714-46-6,0.0006,2024/4/11
NS00003656,Teicoplanin,CAS_RN: 61036-62-2,0.5,2024/4/11
NS00003678,Isopropyl phenyl ketone,CAS_RN: 611-70-1,13.2,2024/2/5
NS00003715,Ursodiol,CAS_RN: 128-13-2,31,2018/10/3
NS00003738,Metalaxyl-M,CAS_RN: 70630-17-0,20,2024/4/11
NS00003756,"2,3,6-Trichlorophenol",CAS_RN: 933-75-5,0.94,2018/10/3
NS00003769,Valifenalate,CAS_RN: 283159-90-0,28,2024/4/11
NS00003797,Dimethyldithiocarbamic acid,CAS_RN: 79-45-8,0.0097,2018/10/3
NS00003806,Omeprazole,CAS_RN: 73590-58-6,18.1,2023/5/25
NS00003842,Promecarb,CAS_RN: 2631-37-0,0.31,2018/10/3
NS00003861,Methoxychlor,CAS_RN: 72-43-5,0.00078,2018/10/3
NS00003875,2-Methyl-3(2H)-isothiazolone,CAS_RN: 2682-20-4,3.9,2024/4/11
NS00003904,Triadimenol,CAS_RN: 55219-65-3,10,2024/4/11
NS00003921,4-Chlorotoluene,CAS_RN: 106-43-4,32,2018/10/3
NS00003929,Ethylenediaminetetraacetic acid (EDTA),CAS_RN: 60-00-4,2200,2024/4/11
NS00003980,Rimsulfuron,CAS_RN: 122931-48-0,0.009,2024/4/11
NS00004014,Spiromesifen,CAS_RN: 283594-90-1,0.025,2018/10/3
NS00004084,Fluquinconazole,CAS_RN: 136426-54-5,0.032,2018/10/3
NS00004126,"1,2-Dichloroethane",CAS_RN: 107-06-2,10,2024/4/11
NS00004127,Trinexapac,CAS_RN: 104273-73-6,41,2023/5/21
NS00004130,Thiobencarb,CAS_RN: 28249-77-6,0.17,2018/10/3
NS00004135,Quinclorac,CAS_RN: 84087-01-4,0.5,2018/10/3
NS00004136,Glutaraldehyde,CAS_RN: 111-30-8,2.5,2023/5/21
NS00004141,Rimonabant,CAS_RN: 168273-06-1,1.6,2023/5/25
NS00004151,Dichloromethane,CAS_RN: 75-09-2,20,2024/4/11
NS00004165,5-Aminosalicylic acid,CAS_RN: 89-57-6,570,2018/10/3
NS00004184,Tolvaptan,CAS_RN: 150683-30-0,20,2023/5/25
NS00004198,Temozolomide,CAS_RN: 85622-93-1,400,2023/5/25
NS00004232,Cefoxitin,CAS_RN: 35607-66-0,8,2024/4/11
NS00004235,"1H-1,2,4-Triazole",CAS_RN: 288-88-0,64,2024/2/5
NS00004259,Azilsartan,CAS_RN: 147403-03-0,880,2023/5/25
NS00004276,Fulvestrant,CAS_RN: 129453-61-8,0.00057,2023/5/25
NS00004310,"2,6-Dimethylphenol",CAS_RN: 576-26-1,13.1,2024/2/5
NS00004332,Alendronic Acid,CAS_RN: 66376-36-1,110,2023/5/25
NS00004383,Fluopicolide,CAS_RN: 239110-15-7,0.71,2024/4/11
NS00004401,"1,2,3-Trichlorobenzene",CAS_RN: 87-61-6,4,2018/10/3
NS00004402,Pentachloroanisole,CAS_RN: 1825-21-4,0.0272,2018/10/3
NS00004438,Tetrasul,CAS_RN: 2227-13-6,0.121,2018/10/3
NS00004456,Noroxycodone,CAS_RN: 57664-96-7,57.1,2018/10/3
NS00004478,"2-[4-(2,4,4-Trimethyl-2-pentanyl)phenoxy]ethanol",CAS_RN: 2315-67-5,3.5,2018/10/3
NS00004492,"2-Carbamoyl-3,5,6-trichloro-4-cyanobenzenesulfonic acid",CAS_RN: 1418095-02-9,100,2024/4/11
NS00004502,Flubendiamide,CAS_RN: 272451-65-7,1.9,2023/5/21
NS00004511,Metofluthrin,CAS_RN: 240494-70-6,0.0012,2023/5/21
NS00004515,Bromopropylate,CAS_RN: 18181-80-1,0.17,2018/10/3
NS00004518,Hymexazol,CAS_RN: 10004-44-1,40,2023/5/21
NS00004619,Meropenem,CAS_RN: 96036-03-2,0.06,2024/4/11
NS00004656,Aminopyralid,CAS_RN: 150114-71-9,1.9,2024/4/11
NS00004661,Sunitinib,CAS_RN: 557795-19-4,2.7,2023/5/25
NS00004673,Thioridazine,CAS_RN: 50-52-2,3,2018/10/3
NS00004674,Tetrachloroethylene,CAS_RN: 127-18-4,10,2024/4/11
NS00004680,Cephalothin,CAS_RN: 153-61-7,2,2024/4/11
NS00004690,Dicyclohexyl phthalate,CAS_RN: 84-61-7,1.04,2024/4/11
NS00004700,Ramipril,CAS_RN: 87333-19-5,1000,2023/5/25
NS00004708,Netilmicin,CAS_RN: 56391-56-1,0.5,2024/4/11
NS00004711,Esfenvalerate,CAS_RN: 66230-04-4,0.000017,2024/4/11
NS00004723,Aminomethylphosphonic acid (AMPA),CAS_RN: 1066-51-9,1500,2024/4/11
NS00004728,"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",CAS_RN: 60348-60-9,0.5,2018/10/3
NS00004747,"1,3,5-Trichlorobenzene",CAS_RN: 108-70-3,4,2018/10/3
NS00004763,Cyproheptadine,CAS_RN: 129-03-3,0.5,2018/10/3
NS00004774,Dicofol,CAS_RN: 115-32-2,0.0013,2024/4/11
NS00004779,Tebupirimfos,CAS_RN: 96182-53-5,0.0008,2018/10/3
NS00004788,Orlistat,CAS_RN: 96829-58-2,0.16,2024/4/11
NS00004797,M-Chlorotoluene,CAS_RN: 108-41-8,8,2018/10/3
NS00004799,"1,1,2-Trichloroethane",CAS_RN: 79-00-5,22,2018/10/3
NS00004805,2-Chlorotoluene,CAS_RN: 95-49-8,8,2018/10/3
NS00004827,Perampanel,CAS_RN: 380917-97-5,6,2023/5/25
NS00004841,Octinoxate,CAS_RN: 5466-77-3,0.0271,2024/4/11
NS00004860,Glimepiride,CAS_RN: 93479-97-1,31.3,2023/5/25
NS00004887,Formothion,CAS_RN: 2540-82-1,0.165,2018/10/3
NS00004912,"2,4-Dichlorophenol",CAS_RN: 120-83-2,4.2,2024/4/11
NS00004927,Cinacalcet,CAS_RN: 226256-56-0,0.5,2023/5/25
NS00004932,Thiophanate-methyl,CAS_RN: 23564-05-8,3.6,2024/4/11
NS00004941,Loracarbef,CAS_RN: 76470-66-1,2,2024/4/11
NS00004969,Azadirachtin,CAS_RN: 11141-17-6,0.47,2023/5/21
NS00004971,Cycloheximide,CAS_RN: 66-81-9,5,2018/10/3
NS00004983,Gatifloxacin,CAS_RN: 112811-59-3,0.13,2024/4/11
NS00005000,Dimethyl sulfide,CAS_RN: 75-18-3,15,2024/2/5
NS00005056,"2,4,6-Trinitro-1,3-dimethyl-5-tert-butylbenzene",CAS_RN: 81-15-2,0.11,2024/2/5
NS00005065,2-Chloro-4-methylaniline,CAS_RN: 615-65-6,0.62,2024/2/5
NS00005087,Thiencarbazone-methyl,CAS_RN: 317815-83-1,0.02,2024/4/11
NS00005138,"N,N-Dimethylformamide",CAS_RN: 68-12-2,22800,2024/2/5
NS00005157,P-Cymene,CAS_RN: 99-87-6,4.4,2018/10/3
NS00005161,Benfluralin,CAS_RN: 1861-40-1,0.19,2018/10/3
NS00005218,Chlorophacinone,CAS_RN: 3691-35-8,0.45,2023/5/21
NS00005223,Prosulfuron,CAS_RN: 94125-34-5,0.126,2023/5/21
NS00005224,Decanoic acid,CAS_RN: 334-48-5,5.7,2023/5/21
NS00005228,Trifloxystrobin acid,CAS_RN: 252913-85-2,64,2024/4/11
NS00005241,N-Benzyladenine,CAS_RN: 1214-39-7,3.1,2024/4/11
NS00005255,"2,3-Dichloro-5-(trifluoromethyl)pyridine",CAS_RN: 69045-84-7,0.53,2024/2/5
NS00005259,1-Chloronaphthalene,CAS_RN: 90-13-1,0.27,2024/2/5
NS00005333,"2,3-Dichloro-1-propene",CAS_RN: 78-88-6,8,2018/10/3
NS00005338,Rivaroxaban,CAS_RN: 366789-02-8,8.6,2023/5/25
NS00005364,Niacinamide,CAS_RN: 98-92-0,10000,2018/10/3
NS00005373,Clopyralid,CAS_RN: 1702-17-6,0.89,2024/4/11
NS00005382,Bispyribac,CAS_RN: 125401-92-5,1.27,2023/5/21
NS00005383,"2,4,6-Tris(tert-butyl)phenol",CAS_RN: 732-26-3,0.0609,2018/10/3
NS00005412,Retapamulin,CAS_RN: 224452-66-8,0.06,2024/4/11
NS00005446,Mupirocin,CAS_RN: 12650-69-0,0.25,2024/4/11
NS00005492,Chromafenozide,CAS_RN: 143807-66-3,84,2023/5/21
NS00005528,Propaquizafop,CAS_RN: 111479-05-1,1.1,2024/2/5
NS00005570,FD&C Blue No. 1,CAS_RN: 3844-45-9,96,2024/2/5
NS00005588,Anastrozole,CAS_RN: 120511-73-1,1,2023/5/25
NS00005606,Tribenuron-methyl,CAS_RN: 101200-48-0,0.1,2024/4/11
NS00005616,Indacaterol,CAS_RN: 312753-06-3,75,2023/5/25
NS00005620,Carbon tetrachloride,CAS_RN: 56-23-5,12,2024/4/11
NS00005629,Terbutrynsulfoxide,CAS_RN: 82985-33-9,30,2024/4/11
NS00005633,Etoricoxib,CAS_RN: 202409-33-4,75,2023/5/25
NS00005646,Tefluthrin,CAS_RN: 79538-32-2,0.000016,2024/4/11
NS00005657,Axitinib,CAS_RN: 319460-85-0,0.35,2023/5/25
NS00005694,Bromoxynil,CAS_RN: 1689-84-5,0.47,2024/4/11
NS00005725,Chlorothalonil,CAS_RN: 1897-45-6,0.035,2024/4/11
NS00005731,"2,4,5-Trichlorophenoxyacetic acid",CAS_RN: 93-76-5,9,2018/10/3
NS00005736,Cumene,CAS_RN: 98-82-8,22,2018/10/3
NS00005824,3-Chloro-4-methylaniline,CAS_RN: 95-74-9,0.62,2024/2/5
NS00005836,Clofentezine,CAS_RN: 74115-24-5,0.0084,2024/4/11
NS00005871,Aprepitant,CAS_RN: 170729-80-3,1.8,2023/5/25
NS00005888,Imipenem,CAS_RN: 64221-86-9,0.13,2024/4/11
NS00005919,Doripenem,CAS_RN: 364622-82-2,0.13,2024/4/11
NS00005931,Cefepime,CAS_RN: 88040-23-7,0.5,2024/4/11
NS00005935,Folpet,CAS_RN: 133-07-3,0.098,2024/4/11
NS00005937,Dibromomethane,CAS_RN: 74-95-3,45,2018/10/3
NS00005946,Sorafenib,CAS_RN: 284461-73-0,0.017,2023/5/25
NS00005985,Eplerenone,CAS_RN: 107724-20-9,20,2023/5/25
NS00006011,Dazomet,CAS_RN: 533-74-4,0.038,2018/10/3
NS00006064,4-Chloro-3-methylphenol,CAS_RN: 59-50-7,6.4,2018/10/3
NS00006103,Ertapenem,CAS_RN: 153832-46-3,0.13,2024/4/11
NS00006107,Dicloran,CAS_RN: 99-30-9,2,2018/10/3
NS00006114,Triflumizole,CAS_RN: 68694-11-1,2.9,2024/4/11
NS00006134,Trichloroethylene,CAS_RN: 79-01-6,10,2024/4/11
NS00006138,Candesartan cilexetil,CAS_RN: 145040-37-5,0.12,2023/5/25
NS00006146,"1,1,1-Trichloroethane",CAS_RN: 71-55-6,21,2024/2/5
NS00006154,Ticarcillin,CAS_RN: 34787-01-4,8,2024/4/11
NS00006160,Chlordimeform,CAS_RN: 6164-98-3,20.7,2018/10/3
NS00006169,Erlotinib,CAS_RN: 183321-74-6,52,2023/5/25
NS00006175,Bisacodyl,CAS_RN: 603-50-9,1.43,2024/4/11
NS00006177,Clindamycinsulfoxid,CAS_RN: 22431-46-5,4,2024/4/11
NS00006181,Amikacin,CAS_RN: 37517-28-5,16,2024/4/11
NS00006197,Bortezomib,CAS_RN: 179324-69-7,1,2023/5/25
NS00006228,14-?€?Hydroxy-?€?6-?€?O-?€?methyl-Erythromycin,CAS_RN: 110671-78-8,0.085,2024/4/11
NS00006236,Saxagliptin,CAS_RN: 361442-04-8,950,2023/5/25
NS00006275,"2-Amino-3-chloro-1,4-naphthoquinone",CAS_RN: 2797-51-5,0.21,2023/5/21
NS00006298,"1,3-Dichlorobenzene",CAS_RN: 541-73-1,6,2018/10/3
NS00006310,"1,1,2-Trichloro-1,2,2-trifluoroethane",CAS_RN: 76-13-1,3.7,2018/10/3
NS00006312,Gefitinib,CAS_RN: 184475-35-2,3.2,2023/5/25
NS00006321,Benzo(a)pyrene,CAS_RN: 50-32-8,0.00017,2024/4/11
NS00006322,Spirodiclofen,CAS_RN: 148477-71-8,0.2,2024/4/11
NS00006349,Glyphosate,CAS_RN: 1071-83-6,120,2024/4/11
NS00006374,Naratriptan,CAS_RN: 121679-13-8,1000,2023/5/25
NS00006387,Zoledronate,CAS_RN: 118072-93-8,31,2023/5/25
NS00006394,Etonogestrel,CAS_RN: 54048-10-1,0.00027,2023/5/25
NS00006403,Fluxapyroxad,CAS_RN: 907204-31-3,3.6,2024/4/11
NS00006425,Penoxsulam,CAS_RN: 219714-96-2,0.2,2024/4/11
NS00006429,"2,4-Dichlorophenoxybutyric acid (2,4-DB)",CAS_RN: 94-82-6,0.932,2018/10/3
NS00006469,Chlorodibromomethane,CAS_RN: 124-48-1,0.11,2018/10/3
NS00006492,Perphenazine,CAS_RN: 58-39-9,0.08,2024/4/11
NS00006504,Fluroxypyr-meptyl,CAS_RN: 81406-37-3,1.79,2024/2/5
NS00006515,Picloram,CAS_RN: 1918-02-1,55,2024/4/11
NS00006532,Tadalafil,CAS_RN: 171596-29-5,48,2023/5/25
NS00006557,1-Naphthaleneacetamide,CAS_RN: 86-86-2,44,2024/4/11
NS00006565,"3,4-Dimethylaniline",CAS_RN: 95-64-7,0.16,2018/10/3
NS00006598,Isoniazid,CAS_RN: 54-85-3,0.13,2024/4/11
NS00006624,"2,3,4,5,6-Pentabromoethylbenzene",CAS_RN: 85-22-3,0.000195,2018/10/3
NS00006654,Fenazaquin,CAS_RN: 120928-09-8,0.096,2018/10/3
NS00006655,Oxypurinol,CAS_RN: 2465-59-0,14,2024/4/11
NS00006659,Triazoxide,CAS_RN: 72459-58-6,3.9,2023/5/21
NS00006694,Thymol,CAS_RN: 89-83-8,30,2023/5/21
NS00006711,"2-(2,4,5-Trichlorophenoxy)propionic acid",CAS_RN: 93-72-1,0.3,2018/10/3
NS00006721,"2,7,8,9-Tricyclazole",CAS_RN: 41814-78-2,0.47,2018/10/3
NS00006748,Acenaphthene,CAS_RN: 83-32-9,3.7,2018/10/3
NS00006758,Fenchlorphos,CAS_RN: 299-84-3,0.03,2018/10/3
NS00006783,Propargite,CAS_RN: 2312-35-8,0.57,2023/5/21
NS00006784,"1,3-Cyclohexanedione",CAS_RN: 504-02-9,24,2024/2/5
NS00006830,"1,2,3-Trichloropropane",CAS_RN: 96-18-4,88,2018/10/3
NS00006868,Colistin,CAS_RN: 1066-17-7,2,2024/4/11
NS00006885,Flurprimidol,CAS_RN: 56425-91-3,42,2023/5/21
NS00006886,Entacapone,CAS_RN: 130929-57-6,8.54,2023/5/25
NS00006918,Mometasone furoate,CAS_RN: 83919-23-7,0.014,2023/5/25
NS00006954,Brimonidine,CAS_RN: 59803-98-4,1.9,2023/5/25
NS00006987,"Benzoic acid, 5-(2,4-dichlorophenoxy)-2-nitro-",CAS_RN: 53774-07-5,2.22,2018/10/3
NS00006999,Metaldehyde,CAS_RN: 108-62-3,500,2024/4/11
NS00007015,Bacitracin,CAS_RN: 1405-87-4,8,2024/4/11
NS00007023,Spinosyn B,CAS_RN: 131929-61-8,0.01,2018/10/3
NS00007024,Pyridafol,CAS_RN: 40020-01-7,1,2024/4/11
NS00007027,Ceftriaxone,CAS_RN: 73384-59-5,0.03,2024/4/11
NS00007051,"p,p'-DDD",CAS_RN: 72-54-8,0.0005,2018/10/3
NS00007053,Zoxamide,CAS_RN: 156052-68-5,0.348,2024/2/5
NS00007063,1-Decanol,CAS_RN: 112-30-1,0.64,2023/5/21
NS00007073,Etridiazole,CAS_RN: 2593-15-9,12,2023/5/21
NS00007080,Vinyl neodecanoate,CAS_RN: 51000-52-3,1,2018/10/3
NS00007117,Rotenone,CAS_RN: 83-79-4,0.125,2018/10/3
NS00007170,Aclonifen,CAS_RN: 74070-46-5,0.12,2024/4/11
NS00007180,"Acetamide, N-(4-fluorophenyl)-2-hydroxy-N-(1-methylethyl)-",CAS_RN: 54041-17-7,23,2024/2/5
NS00007208,Dicrotophos,CAS_RN: 141-66-2,0.013,2018/10/3
NS00007220,Benthiavalicarb,CAS_RN: 413615-35-7,100,2023/5/21
NS00007300,17Beta-Trenbolone,CAS_RN: 10161-33-8,0.0013,2018/10/3
NS00007313,Benzovindiflupyr,CAS_RN: 1072957-71-1,0.095,2023/5/21
NS00007333,Bixafen,CAS_RN: 581809-46-3,0.46,2024/4/11
NS00007342,Imazosulfuron,CAS_RN: 122548-33-8,0.0225,2024/2/5
NS00007346,Chloroform,CAS_RN: 67-66-3,2.5,2024/4/11
NS00007355,Cefpodoxime,CAS_RN: 80210-62-4,0.25,2024/4/11
NS00007368,Zolmitriptan,CAS_RN: 139264-17-8,100,2023/5/25
NS00007426,Fusidic acid,CAS_RN: 6990-06-3,0.5,2024/4/11
NS00007516,3-Chloro-5-(trifluoromethyl)pyridin-2-amine,CAS_RN: 79456-26-1,0.08,2024/2/5
NS00007529,"2,4,5-Trichlorophenol",CAS_RN: 95-95-4,0.13,2018/10/3
NS00007535,Bromodichloromethane,CAS_RN: 75-27-4,0.051,2018/10/3
NS00007560,Pilocarpine,CAS_RN: 92-13-7,0.1,2018/10/3
NS00007574,Cyfluthrin,CAS_RN: 68359-37-5,0.000105,2024/2/5
NS00007594,Bazedoxifene,CAS_RN: 198481-32-2,1.4,2023/5/25
NS00007630,Pyridalyl,CAS_RN: 179101-81-6,0.045,2023/5/21
NS00007644,"1,4-Dichloro-2-nitrobenzene",CAS_RN: 89-61-2,1.4,2018/10/3
NS00007664,Agomelatine,CAS_RN: 138112-76-2,100,2023/5/25
NS00007685,Formaldehyde,CAS_RN: 50-00-0,5,2018/10/3
NS00007694,Methidathion,CAS_RN: 950-37-8,0.09,2018/10/3
NS00007702,Amantadine,CAS_RN: 768-94-5,25,2018/10/3
NS00007710,"2-Methyl-4,6-dinitrophenol",CAS_RN: 534-52-1,9.2,2018/10/3
NS00007718,Dimethachlor,CAS_RN: 50563-36-5,0.05,2024/4/11
NS00007724,Triasulfuron,CAS_RN: 82097-50-5,0.00068,2024/4/11
NS00007743,Ethidimuron,CAS_RN: 30043-49-3,4.4,2018/10/3
NS00007745,Soneclosan,CAS_RN: 3380-30-1,0.93,2023/5/21
NS00007769,"2,4,6-Trichlorophenol",CAS_RN: 88-06-2,0.26,2018/10/3
NS00007787,Aliskiren,CAS_RN: 173334-57-1,1000,2023/5/25
NS00007794,Cefazolin,CAS_RN: 25953-19-9,1,2024/4/11
NS00007810,Sparfloxacin,CAS_RN: 110871-86-8,0.06,2024/4/11
NS00007855,Phorate,CAS_RN: 298-02-2,0.0033,2018/10/3
NS00007857,"3,3',4,4',5-Pentachlorobiphenyl (PCB 126)",CAS_RN: 57465-28-8,0.0025,2018/10/3
NS00007860,Desethylterbutylazine,CAS_RN: 30125-63-4,0.25,2018/10/3
NS00007862,Monuron,CAS_RN: 150-68-5,0.2,2024/4/11
NS00007887,Tebufenozide,CAS_RN: 112410-23-8,0.57,2024/4/11
NS00007904,Minocycline,CAS_RN: 10118-90-8,1,2024/4/11
NS00007907,Propofol,CAS_RN: 2078-54-8,4.6,2023/5/25
NS00007908,"1,3-Dichloropropene",CAS_RN: 542-75-6,1.6,2018/10/3
NS00007915,O-Xylene,CAS_RN: 95-47-6,10,2024/2/5
NS00007956,Triamcinolone,CAS_RN: 124-94-7,100,2023/5/25
NS00007958,Thiabendazole,CAS_RN: 148-79-8,1.2,2023/5/21
NS00007967,(Z)-Dimethomorph,CAS_RN: 1113210-98-3,5.6,2018/10/3
NS00007985,"1,1'-Oxybis(2,3,4,5-tetrabromobenzene)",CAS_RN: 85446-17-9,0.2,2018/10/3
NS00008007,"1,2-Dichlorobenzene",CAS_RN: 95-50-1,6.9,2018/10/3
NS00008009,Benthiavalicarb-isopropyl,CAS_RN: 177406-68-7,100,2024/4/11
NS00008027,"1,1-Dichloroethylene",CAS_RN: 75-35-4,6.8,2024/2/5
NS00008031,Ciprofloxacin,CAS_RN: 85721-33-1,0.064,2024/4/11
NS00008042,Ezetimibe,CAS_RN: 163222-33-1,5.1,2023/5/25
NS00008052,Endosulfan I,CAS_RN: 959-98-8,0.000005,2018/10/3
NS00008059,Ceftiofur,CAS_RN: 80370-57-6,0.06,2024/4/11
NS00008096,Toluene,CAS_RN: 108-88-3,74,2024/4/11
NS00008102,Formetanate,CAS_RN: 22259-30-9,0.11,2018/10/3
NS00008103,Vemurafenib,CAS_RN: 1029872-54-5,1.8,2023/5/25
NS00008107,Icaridin,CAS_RN: 119515-38-7,314,2024/4/11
NS00008118,Triisobutyl phosphate (TIBP),CAS_RN: 126-71-6,11,2018/10/3
NS00008134,Hexachloroethane,CAS_RN: 67-72-1,0.67,2018/10/3
NS00008150,Climbazole,CAS_RN: 38083-17-9,0.112,2024/4/11
NS00008155,Chlorfenapyr,CAS_RN: 122453-73-0,0.017,2024/4/11
NS00008160,Flumequine,CAS_RN: 42835-25-6,0.25,2024/4/11
NS00008168,Heptachlor,CAS_RN: 76-44-8,0.00000017,2024/4/11
NS00008169,MCPB,CAS_RN: 94-81-5,0.43,2024/4/11
NS00008199,Benzothiazolone,CAS_RN: 934-34-9,14,2018/10/3
NS00008208,Fenhexamid,CAS_RN: 126833-17-8,5.6,2024/4/11
NS00008219,Methsuximide,CAS_RN: 77-41-8,1.7,2018/10/3
NS00008224,Spirotetramat,CAS_RN: 203313-25-1,2,2024/4/11
NS00008233,"3,5-Dimethylphenol",CAS_RN: 108-68-9,13.1,2024/2/5
NS00008234,Chloroprene,CAS_RN: 126-99-8,32,2024/2/5
NS00008242,P-Cresol,CAS_RN: 106-44-5,100,2018/10/3
NS00008243,Fonofos,CAS_RN: 944-22-9,0.004,2018/10/3
NS00008252,Chlorthiamid,CAS_RN: 1918-13-4,11,2018/10/3
NS00008258,"1,2-Dichloroethylene",CAS_RN: 540-59-0,6.8,2018/10/3
NS00008259,"3,3'-Dichlorobenzidine",CAS_RN: 91-94-1,0.001,2024/2/5
